title,description,url,group,icon,color,marker_id,visible,longitude,latitude
Kennedy Space Center Visitor Complex,Atlantis,http://wherearetheplanes.com/Shuttle/Atlantis.html,,airport,,,TRUE,28.524937,-80.680438
Steven F. Udvar-Hazy Center,Discovery ,http://wherearetheplanes.com/Shuttle/Discovery.html,,airport,,,TRUE,38.911434,-77.445317
California Science Center,Endeavour ,http://wherearetheplanes.com/Shuttle/Endeavour.html,,airport,,,TRUE,34.016188,-118.287312
Intrepid Sea Air & Space Museum,Enterprise ,http://wherearetheplanes.com/Shuttle/Enterprise.html,,airport,,,TRUE,40.765187,-74.001812
